manufacturer,manufacturer_part_number,product_title,product_type,material,size,end_connection,pressure_rating,temperature_range,certifications,description
Northstar Flow Systems,NFS-BV-1001,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1002,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1003,25.4 mm Full Port Ball Valve,Ball Valve,Brass,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1004,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1005,25.4 mm Full Port Ball Valve,,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1006,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1007,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1008,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1009,25.4 mm Full Port Ball Valve,Ball Valve,Brass,25.4 mm,NPT,,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1010,1 in Full Port Ball Valve,,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1011,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1012,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1013,25.4 mm Full Port Ball Valve,Ball Valve,,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1014,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1015,25.4 mm Full Port Ball Valve,,Brass,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1016,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1017,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,1200 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1018,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1019,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1020,1 in Full Port Ball Valve,,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1021,25.4 mm Full Port Ball Valve,Ball Valve,Brass,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1022,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1023,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1024,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1025,25.4 mm Full Port Ball Valve,,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1026,1 in Full Port Ball Valve,Ball Valve,,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1027,25.4 mm Full Port Ball Valve,Ball Valve,Brass,25.4 mm,NPT,,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1028,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1029,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1030,1 in Full Port Ball Valve,,Brass,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1031,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1032,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1033,25.4 mm Full Port Ball Valve,Ball Valve,Brass,25.4 mm,,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1034,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,1200 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1035,25.4 mm Full Port Ball Valve,,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1036,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1037,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1038,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1039,25.4 mm Full Port Ball Valve,Ball Valve,,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1040,1 in Full Port Ball Valve,,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1041,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1042,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1043,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
